Entry,SIDC
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE TANK,S*G*EVAT--
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE TANK TANK LIGHT,S*G*EVATL-
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE TANK TANK LIGHT TANK LIGHT RECOVERY,S*G*EVATW-
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE TANK TANK MEDIUM,S*G*EVATM-
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE TANK TANK MEDIUM TANK MEDIUM RECOVERY,S*G*EVATX-
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE TANK TANK HEAVY,S*G*EVATH-
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE TANK TANK HEAVY TANK HEAVY RECOVERY,S*G*EVATY-
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE ARMOURED PERSONNEL CARRIER,S*G*EVAA--
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE ARMOURED PERSONNEL CARRIER ARMOURED PERSONNEL CARRIER RECOVERY,S*G*EVAAR-
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE ARMOURED INFANTRY,S*G*EVAI--
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE C2V/ACV,S*G*EVAC--
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE COMBAT SERVICE SUPPORT VEHICLE,S*G*EVAS--
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE LIGHT ARMOURED VEHICLE,S*G*EVAL--
GROUND TRACK EQUIPMENT GROUND VEHICLE UTILITY VEHICLE,S*G*EVU---
GROUND TRACK EQUIPMENT GROUND VEHICLE UTILITY VEHICLE BUS,S*G*EVUB--
GROUND TRACK EQUIPMENT GROUND VEHICLE UTILITY VEHICLE SEMI,S*G*EVUS--
GROUND TRACK EQUIPMENT GROUND VEHICLE UTILITY VEHICLE LIMITED CROSS-COUNTRY TRUCK,S*G*EVUL--
GROUND TRACK EQUIPMENT GROUND VEHICLE UTILITY VEHICLE CROSS-COUNTRY TRUCK,S*G*EVUX--
GROUND TRACK EQUIPMENT GROUND VEHICLE UTILITY VEHICLE WATER CRAFT,S*G*EVUR--
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE,S*G*EVE---
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE BRIDGE,S*G*EVEB--
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE EARTHMOVER,S*G*EVEE--
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE EARTHMOVER MULTIFUNCTIONAL EARTHMOVER/DIGGER,S*G*EVEE--
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE CONSTRUCTION VEHICLE,S*G*EVEC--
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE MINE LAYING VEHICLE,S*G*EVEM--
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE MINE LAYING VEHICLE ARMOURED VEHICLE MOUNTED,S*G*EVEMA-
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE MINE LAYING VEHICLE TRAILER MOUNTED,S*G*EVEMT-
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE MINE LAYING VEHICLE ARMOURED CARRIER WITH VOLCANO,S*G*EVEMV-
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE MINE LAYING VEHICLE ARMOURED CARRIER WITH SCATTERABLE MINES,S*G*EVEMSM
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE DOZER,S*G*EVED--
GROUND TRACK EQUIPMENT GROUND VEHICLE ENGINEER VEHICLE DRILLING VEHICLE,S*G*EVD---
